Fact,Clean Fact,# of Total Passages,# of Passage with S,# of Passage with NS,Golden Label,Prediction Label,Correct?
Marianne McAndrew is an American.,Marianne McAndrew is an American.,2,0,2,NS,NS,Y
Marianne McAndrew is an actress.,Marianne McAndrew is an actress.,2,0,2,S,NS,N
Marianne McAndrew is a singer.,Marianne McAndrew is a singer.,2,0,2,NS,NS,Y
"Marianne McAndrew was born on November 21, 1942.","Marianne McAndrew was born on November 21, 1942.",2,0,2,NS,NS,Y
Marianne McAndrew was born in Cleveland.,Marianne McAndrew was born in Cleveland.,2,0,2,NS,NS,Y
Cleveland is in Ohio.,Cleveland is in Ohio.,3,0,3,NS,NS,Y
Gerhard Fischer is an inventor.,Gerhard Fischer is an inventor.,2,0,2,S,S,Y
Gerhard Fischer is an entrepreneur.,Gerhard Fischer is an entrepreneur.,2,0,2,S,S,Y
Gerhard Fischer is best known for inventing a metal detector.,Gerhard Fischer is best known for inventing a metal detector.,2,0,2,S,S,Y
"Gerhard Fischer invented the first handheld, battery-operated metal detector.","Gerhard Fischer invented the first handheld, battery-operated metal detector.",2,0,2,S,S,Y
"Gerhard Fischer invented the first handheld, battery-operated metal detector in 1931.","Gerhard Fischer invented the first handheld, battery-operated metal detector in 1931.",2,0,2,NS,S,N
He founded the Fischer Research Laboratory.,He founded the Fischer Research Laboratory.,2,0,2,S,S,Y
The Fischer Research Laboratory was founded in 1936.,The Fischer Research Laboratory was founded in 1936.,2,0,2,NS,S,N
The Fischer Research Laboratory became one of the world's leading manufacturers of metal detectors.,The Fischer Research Laboratory became one of the world's leading manufacturers of metal detectors.,2,0,2,NS,S,N
Joey D. Vieira is an American.,Joey D. Vieira is an American.,3,0,3,S,NS,N
Joey D. Vieira is an actor.,Joey D. Vieira is an actor.,3,0,3,S,NS,N
Joey D. Vieira is a stunt performer.,Joey D. Vieira is a stunt performer.,3,0,3,NS,NS,Y
"Joey D. Vieira was born on July 23, 1937.","Joey D. Vieira was born on July 23, 1937.",3,0,3,NS,NS,Y
"Joey D. Vieira was born in California, USA.","Joey D. Vieira was born in California, USA.",3,0,3,NS,NS,Y
She transitioned to acting.,She transitioned to acting.,5,0,5,NS,NS,Y
She appeared in films.,She appeared in films.,3,0,3,S,NS,N
She appeared in A Bronx Tale.,She appeared in A Bronx Tale.,3,0,3,S,NS,N
A Bronx Tale is a film.,A Bronx Tale is a film.,3,0,3,S,NS,N
A Bronx Tale was released in 1993.,A Bronx Tale was released in 1993.,3,0,3,S,NS,N
She appeared in Just Cause.,She appeared in Just Cause.,3,0,3,S,NS,N
Just Cause is a film.,Just Cause is a film.,3,0,3,S,NS,N
Just Cause was released in 1995.,Just Cause was released in 1995.,3,0,3,S,NS,N
She appeared in Belly.,She appeared in Belly.,3,0,3,S,NS,N
Belly is a film.,Belly is a film.,3,0,3,S,NS,N
Belly was released in 1998.,Belly was released in 1998.,3,0,3,S,NS,N
He is a member of the Democratic Party.,He is a member of the Democratic Party.,2,0,2,NS,S,N
He has served as a mayor.,He has served as a mayor.,2,0,2,NS,S,N
He is the mayor of Palermo.,He is the mayor of Palermo.,2,0,2,NS,S,N
He has been mayor of Palermo since June 2017.,He has been mayor of Palermo since June 2017.,2,0,2,NS,S,N
Tusa has been involved in various cultural initiatives.,Tusa has been involved in various cultural initiatives.,2,0,2,NS,S,N
Tusa has worked to promote Palermo as a cultural destination.,Tusa has worked to promote Palermo as a cultural destination.,2,0,2,NS,S,N
Jean Daullé was born in 1703.,Jean Daullé was born in 1703.,4,0,4,S,NS,N
Jean Daullé died in 1763.,Jean Daullé died in 1763.,4,0,4,S,NS,N
Jean Daullé was French.,Jean Daullé was French.,4,0,4,S,NS,N
Jean Daullé was an engraver.,Jean Daullé was an engraver.,4,0,4,S,NS,N
Jean Daullé was a printmaker.,Jean Daullé was a printmaker.,4,0,4,NS,NS,Y
Jean Daullé was known for his portraits.,Jean Daullé was known for his portraits.,4,0,4,S,NS,N
Jean Daullé was known for his religious subjects.,Jean Daullé was known for his religious subjects.,4,0,4,NS,NS,Y
Fernandinho represents the Brazil national team.,Fernandinho represents the Brazil national team.,2,0,2,NS,NS,Y
Fernandinho has represented the Brazil national team since 2011.,Fernandinho has represented the Brazil national team since 2011.,2,0,2,NS,NS,Y
Fernandinho has earned over 50 caps.,Fernandinho has earned over 50 caps.,2,0,2,NS,NS,Y
Fernandinho participated in the 2014 FIFA World Cup.,Fernandinho participated in the 2014 FIFA World Cup.,2,0,2,NS,NS,Y
Fernandinho participated in the 2018 FIFA World Cup.,Fernandinho participated in the 2018 FIFA World Cup.,2,0,2,NS,NS,Y
He moved to Dutch club FC Groningen.,He moved to Dutch club FC Groningen.,3,0,3,S,NS,N
He made the move in 2019.,He made the move in 2019.,3,0,3,S,NS,N
He has become a regular starter in the team's defense.,He has become a regular starter in the team's defense.,3,0,3,NS,NS,Y
Itakura has represented Japan at the Under-19-level.,Itakura has represented Japan at the Under-19-level.,3,0,3,NS,NS,Y
Itakura has represented Japan at the Under-23 level.,Itakura has represented Japan at the Under-23 level.,3,0,3,NS,NS,Y
Itakura made his senior debut for the national team in 2019.,Itakura made his senior debut for the national team in 2019.,3,0,3,S,NS,N
"He was born on December 5, 1999.","He was born on December 5, 1999.",2,0,2,NS,NS,Y
He was born in Hull.,He was born in Hull.,2,0,2,NS,NS,Y
Hull is in England.,Hull is in England.,2,0,2,NS,NS,Y
Houghton has established himself as one of the top hookers in the Super League.,Houghton has established himself as one of the top hookers in the Super League.,2,0,2,NS,NS,Y
He was named Hull FC's player of the year.,He was named Hull FC's player of the year.,2,0,2,NS,NS,Y
He was named player of the year in 2018.,He was named player of the year in 2018.,2,0,2,NS,NS,Y
Mike Trivisonno is a radio personality.,Mike Trivisonno is a radio personality.,3,0,3,S,NS,N
Mike Trivisonno is well-known.,Mike Trivisonno is well-known.,3,0,3,S,NS,N
Mike Trivisonno is from Cleveland.,Mike Trivisonno is from Cleveland.,3,0,3,S,NS,N
Cleveland is in Ohio.,Cleveland is in Ohio.,3,0,3,S,NS,N
Trivisonno started his radio career at WIXY 1260 AM.,Trivisonno started his radio career at WIXY 1260 AM.,3,0,3,NS,NS,Y
Trivisonno worked at WMMS.,Trivisonno worked at WMMS.,3,0,3,NS,NS,Y
Trivisonno worked at WTAM.,Trivisonno worked at WTAM.,3,0,3,S,NS,N
Trivisonno worked at WKNR.,Trivisonno worked at WKNR.,3,0,3,NS,NS,Y
Estes is the grandson of Sleepy John Estes.,Estes is the grandson of Sleepy John Estes.,2,0,2,NS,NS,Y
Sleepy John Estes is a blues musician.,Sleepy John Estes is a blues musician.,2,0,2,NS,NS,Y
Sleepy John Estes is legendary.,Sleepy John Estes is legendary.,2,0,2,NS,NS,Y
Estes learned to play guitar from his grandfather.,Estes learned to play guitar from his grandfather.,2,0,2,NS,NS,Y
He currently resides in Nashville.,He currently resides in Nashville.,2,0,2,NS,NS,Y
Nashville is in Tennessee.,Nashville is in Tennessee.,2,0,2,NS,NS,Y
He continues to tour.,He continues to tour.,2,0,2,NS,NS,Y
He continues to record new music.,He continues to record new music.,2,0,2,NS,NS,Y
Katsu has written novels.,Katsu has written novels.,3,0,3,S,NS,N
The Taker trilogy is a novel by Katsu.,The Taker trilogy is a novel by Katsu.,3,0,3,S,NS,N
The Hunger is a novel by Katsu.,The Hunger is a novel by Katsu.,3,0,3,S,NS,N
The Deep is a novel by Katsu.,The Deep is a novel by Katsu.,3,0,3,S,NS,N
Red Widow is a novel by Katsu.,Red Widow is a novel by Katsu.,3,0,3,S,NS,N
Katsu currently lives in Virginia.,Katsu currently lives in Virginia.,3,0,3,NS,NS,Y
Katsu lives with her husband.,Katsu lives with her husband.,3,0,3,S,NS,N
Rennie Fritchie is a public servant.,Rennie Fritchie is a public servant.,2,0,2,S,NS,N
